Date,VALE3.SA,BBAS3.SA,PETR4.SA
2012-05-31 00:00:00-03:00,0.0,0.06331,0.2
2012-06-30 00:00:00-03:00,0.0,0.298239,0.0
2012-07-31 00:00:00-03:00,0.0,0.0,0.0
2012-08-31 00:00:00-03:00,0.0,0.124066,0.0
2012-09-30 00:00:00-03:00,0.0,0.285821,0.0
2012-10-31 00:00:00-02:00,1.18652,0.0,0.0
2012-11-30 00:00:00-02:00,0.0,0.106932,0.0
2012-12-31 00:00:00-02:00,0.0,0.297177,0.0
2013-01-31 00:00:00-02:00,0.0,0.0,0.0
2013-02-28 00:00:00-03:00,0.0,0.0,0.0
2013-03-31 00:00:00-03:00,0.0,0.526247,0.0
2013-04-30 00:00:00-03:00,0.864045,0.0,0.38617
2013-05-31 00:00:00-03:00,0.0,0.09821,0.0
2013-06-30 00:00:00-03:00,0.0,0.281982,0.0
2013-07-31 00:00:00-03:00,0.0,0.0,0.0
2013-08-31 00:00:00-03:00,0.0,0.780872,0.0
2013-09-30 00:00:00-03:00,0.0,0.313771,0.0
2013-10-31 00:00:00-02:00,0.120605,0.0,0.0
2013-11-30 00:00:00-02:00,0.0,0.066615,0.0
2013-12-31 00:00:00-02:00,0.0,0.309285,0.0
2014-01-31 00:00:00-02:00,0.0,0.0,0.0
2014-02-28 00:00:00-03:00,0.0,0.132155,0.0
2014-03-31 00:00:00-03:00,0.0,0.314638,0.0
2014-04-30 00:00:00-03:00,0.898904,0.0,0.9672
2014-05-31 00:00:00-03:00,0.0,0.081217,0.0
2014-06-30 00:00:00-03:00,0.0,0.321041,0.0
2014-07-31 00:00:00-03:00,0.0,0.0,0.0
2014-08-31 00:00:00-03:00,0.0,0.07878,0.0
2014-09-30 00:00:00-03:00,0.0,0.336522,0.0
2014-10-31 00:00:00-02:00,0.99087,0.0,0.0
2014-11-30 00:00:00-02:00,0.0,0.055718,0.0
2014-12-31 00:00:00-02:00,0.0,0.339949,0.0
2015-01-31 00:00:00-02:00,0.0,0.0,0.0
2015-02-28 00:00:00-03:00,0.0,0.0912,0.0
2015-03-31 00:00:00-03:00,0.0,0.376992,0.0
2015-04-30 00:00:00-03:00,0.601761,0.0,0.0
2015-05-31 00:00:00-03:00,0.0,0.451138,0.0
2015-06-30 00:00:00-03:00,0.0,0.289894,0.0
2015-07-31 00:00:00-03:00,0.0,0.0,0.0
2015-08-31 00:00:00-03:00,0.0,0.141039,0.0
2015-09-30 00:00:00-03:00,0.0,0.266078,0.0
2015-10-31 00:00:00-02:00,0.37361,0.0,0.0
2015-11-30 00:00:00-02:00,0.0,0.170805,0.0
2015-12-31 00:00:00-02:00,0.0,0.274491,0.0
2016-01-31 00:00:00-02:00,0.0,0.0,0.0
2016-02-29 00:00:00-03:00,0.0,0.0,0.0
2016-03-31 00:00:00-03:00,0.0,0.188853,0.0
2016-04-30 00:00:00-03:00,0.0,0.0,0.0
2016-05-31 00:00:00-03:00,0.0,0.133683,0.0
2016-06-30 00:00:00-03:00,0.0,0.137755,0.0
2016-07-31 00:00:00-03:00,0.0,0.0,0.0
2016-08-31 00:00:00-03:00,0.0,0.139965,0.0
2016-09-30 00:00:00-03:00,0.0,0.126652,0.0
2016-10-31 00:00:00-02:00,0.0,0.0,0.0
2016-11-30 00:00:00-02:00,0.0,0.109871,0.0
2016-12-31 00:00:00-02:00,0.166294,0.076932,0.0
2017-01-31 00:00:00-02:00,0.0,0.0,0.0
2017-02-28 00:00:00-03:00,0.0,0.0,0.0
2017-03-31 00:00:00-03:00,0.0,0.098022,0.0
2017-04-30 00:00:00-03:00,0.905572,0.0,0.0
2017-05-31 00:00:00-03:00,0.0,0.182939,0.0
2017-06-30 00:00:00-03:00,0.0,0.078574,0.0
2017-07-31 00:00:00-03:00,0.0,0.0,0.0
2017-08-31 00:00:00-03:00,0.0,0.204303,0.0
2017-09-30 00:00:00-03:00,0.0,0.076292,0.0
2017-10-31 00:00:00-02:00,0.0,0.0,0.0
2017-11-30 00:00:00-02:00,0.0,0.223237,0.0
2017-12-31 00:00:00-02:00,0.419912,0.082597,0.0
2018-01-31 00:00:00-02:00,0.0,0.0,0.0
2018-02-28 00:00:00-03:00,0.0,0.0,0.0
2018-03-31 00:00:00-03:00,0.488511,0.32738,0.0
2018-04-30 00:00:00-03:00,0.0,0.0,0.0
2018-05-31 00:00:00-03:00,0.0,0.213954,0.05
2018-06-30 00:00:00-03:00,0.0,0.077203,0.0
2018-07-31 00:00:00-03:00,0.0,0.0,0.0
2018-08-31 00:00:00-03:00,1.480362,0.269662,0.05
2018-09-30 00:00:00-03:00,0.0,0.085491,0.0
2018-10-31 00:00:00-03:00,0.0,0.0,0.0
2018-11-30 00:00:00-02:00,0.0,0.416893,0.1
2018-12-31 00:00:00-02:00,0.0,0.12567,0.716563
2019-01-31 00:00:00-02:00,0.0,0.0,0.0
2019-02-28 00:00:00-03:00,0.0,0.591888,0.0
2019-03-31 00:00:00-03:00,0.0,0.74627,0.0
2019-04-30 00:00:00-03:00,0.0,0.0,0.019494
