,CVCB3.SA,CVCB3.SA,CVCB3.SA,CVCB3.SA,RANI3.SA,RANI3.SA,RANI3.SA,RANI3.SA,GOAU4.SA,GOAU4.SA,GOAU4.SA,GOAU4.SA,ALUP11.SA,ALUP11.SA,ALUP11.SA,ALUP11.SA,EZTC3.SA,EZTC3.SA,EZTC3.SA,EZTC3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,BEEF3.SA,COGN3.SA,COGN3.SA,COGN3.SA,COGN3.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,BPAC11.SA,KLBN11.SA,KLBN11.SA,KLBN11.SA,KLBN11.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,ROMI3.SA,VAMO3.SA,VAMO3.SA,VAMO3.SA,VAMO3.SA,B3SA3.SA,B3SA3.SA,B3SA3.SA,B3SA3.SA,LAVV3.SA,LAVV3.SA,LAVV3.SA,LAVV3.SA,BRFS3.SA,BRFS3.SA,BRFS3.SA,BRFS3.SA,GRND3.SA,GRND3.SA,GRND3.SA,GRND3.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,CIEL3.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,TGMA3.SA,LWSA3.SA,LWSA3.SA,LWSA3.SA,LWSA3.SA,RECV3.SA,RECV3.SA,RECV3.SA,RECV3.SA,RENT3.SA,RENT3.SA,RENT3.SA,RENT3.SA,GGBR4.SA,GGBR4.SA,GGBR4.SA,GGBR4.SA,CPFE3.SA,CPFE3.SA,CPFE3.SA,CPFE3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,CMIN3.SA,TRIS3.SA,TRIS3.SA,TRIS3.SA,TRIS3.SA,TIMS3.SA,TIMS3.SA,TIMS3.SA,TIMS3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBDC3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,BBSE3.SA,CPLE3.SA,CPLE3.SA,CPLE3.SA,CPLE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,ABCB4.SA,ABCB4.SA,ABCB4.SA,ABCB4.SA,CMIG3.SA,CMIG3.SA,CMIG3.SA,CMIG3.SA,BHIA3.SA,BHIA3.SA,BHIA3.SA,BHIA3.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,CCRO3.SA,MULT3.SA,MULT3.SA,MULT3.SA,MULT3.SA,ENEV3.SA,ENEV3.SA,ENEV3.SA,ENEV3.SA,BBDC4.SA,BBDC4.SA,BBDC4.SA,BBDC4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,SLCE3.SA,SLCE3.SA,SLCE3.SA,SLCE3.SA,PETR3.SA,PETR3.SA,PETR3.SA,PETR3.SA,RAIL3.SA,RAIL3.SA,RAIL3.SA,RAIL3.SA,HAPV3.SA,HAPV3.SA,HAPV3.SA,HAPV3.SA,DXCO3.SA,DXCO3.SA,DXCO3.SA,DXCO3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ABEV3.SA,ITSA4.SA,ITSA4.SA,ITSA4.SA,SUZB3.SA,SUZB3.SA,SUZB3.SA,SUZB3.SA,FLRY3.SA,FLRY3.SA,FLRY3.SA,FLRY3.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,ALPA4.SA,PCAR3.SA,PCAR3.SA,PCAR3.SA,PCAR3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA,NTCO3.SA,TRPL4.SA,TRPL4.SA,TRPL4.SA,TRPL4.SA,SMTO3.SA,SMTO3.SA,SMTO3.SA,SMTO3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,ASAI3.SA,IGTI11.SA,IGTI11.SA,IGTI11.SA,IGTI11.SA,FESA4.SA,FESA4.SA,FESA4.SA,FESA4.SA,UGPA3.SA,UGPA3.SA,UGPA3.SA,UGPA3.SA,WIZC3.SA,WIZC3.SA,WIZC3.SA,WIZC3.SA,LREN3.SA,LREN3.SA,LREN3.SA,LREN3.SA,AURE3.SA,AURE3.SA,AURE3.SA,AURE3.SA,JHSF3.SA,JHSF3.SA,JHSF3.SA,JHSF3.SA,AGRO3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,ARZZ3.SA,CSAN3.SA,CSAN3.SA,CSAN3.SA,CSAN3.SA,EQTL3.SA,EQTL3.SA,EQTL3.SA,EQTL3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,KEPL3.SA,HYPE3.SA,HYPE3.SA,HYPE3.SA,HYPE3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,MGLU3.SA,TOTS3.SA,TOTS3.SA,TOTS3.SA,TOTS3.SA,BRSR6.SA,BRSR6.SA,BRSR6.SA,BRSR6.SA,PRIO3.SA,PRIO3.SA,PRIO3.SA,PRIO3.SA,CXSE3.SA,CXSE3.SA,CXSE3.SA,CXSE3.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,RAPT4.SA,BRKM5.SA,BRKM5.SA,BRKM5.SA,BRKM5.SA,VIVT3.SA,VIVT3.SA,BRAP4.SA,BRAP4.SA,BRAP4.SA,BRAP4.SA,CRFB3.SA,CRFB3.SA,CRFB3.SA,UNIP6.SA,UNIP6.SA,UNIP6.SA,UNIP6.SA,CSMG3.SA,CSMG3.SA,CSMG3.SA,CSMG3.SA,MRVE3.SA,MRVE3.SA,MRVE3.SA,MRVE3.SA,SANB11.SA,SANB11.SA,PSSA3.SA,PSSA3.SA,PSSA3.SA,PSSA3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,BBAS3.SA,PETZ3.SA,PETZ3.SA,PETZ3.SA,PETZ3.SA,CMIG4.SA,CMIG4.SA,CMIG4.SA,CMIG4.SA,SBSP3.SA,SBSP3.SA,SBSP3.SA,SBSP3.SA,VBBR3.SA,VBBR3.SA,VBBR3.SA,VBBR3.SA,LEVE3.SA,LEVE3.SA,LEVE3.SA,LEVE3.SA,RRRP3.SA,RRRP3.SA,RRRP3.SA,RRRP3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA,TAEE11.SA,YDUQ3.SA,YDUQ3.SA,RADL3.SA,RADL3.SA,RADL3.SA,RADL3.SA,ELET3.SA,ELET3.SA,ELET3.SA,ELET3.SA,CSNA3.SA,CSNA3.SA,CSNA3.SA,CSNA3.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,MRFG3.SA,MRFG3.SA,MRFG3.SA,MRFG3.SA,AZUL4.SA,AZUL4.SA,AZUL4.SA,AZUL4.SA,TASA4.SA,TASA4.SA,TASA4.SA,TASA4.SA,CPLE6.SA,CPLE6.SA,CPLE6.SA,CPLE6.SA,DIRR3.SA,DIRR3.SA,DIRR3.SA,DIRR3.SA,GOLL4.SA,GOLL4.SA,GOLL4.SA,GOLL4.SA,RDOR3.SA,RDOR3.SA,RDOR3.SA,RDOR3.SA,EMBR3.SA,EMBR3.SA,EMBR3.SA,USIM5.SA,USIM5.SA,USIM5.SA,USIM5.SA,ENGI11.SA,ENGI11.SA,ENGI11.SA,ENGI11.SA,ELET6.SA,ELET6.SA,ELET6.SA,ELET6.SA,SOMA3.SA,SOMA3.SA,SOMA3.SA,SOMA3.SA,IRBR3.SA,IRBR3.SA,IRBR3.SA,IRBR3.SA,CYRE3.SA,CYRE3.SA,CYRE3.SA,CYRE3.SA,JBSS3.SA,JBSS3.SA,JBSS3.SA,JBSS3.SA,ALSO3.SA,ALSO3.SA,ALSO3.SA,ALSO3.SA
,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00
Free Cash Flow,-92966000.0,-234117000.0,374398000.0,-43475000.0,-21681000.0,-76417000.0,-36195000.0,-38456000.0,1982278000.0,981677000.0,1144446000.0,3417302000.0,537780000.0,407266000.0,1053611000.0,508812000.0,-154068000.0,-31196000.0,-151215000.0,-140635000.0,391264000.0,-134622000.0,831018000.0,896358000.0,170904000.0,-78768000.0,-62487000.0,-248640000.0,-18513088000.0,1553390000.0,24970949000.0,-4641882000.0,459848000.0,252379000.0,1391009000.0,-513140000.0,11885000.0,-15396000.0,12768000.0,-3187000.0,-1426938000.0,-387411000.0,375499000.0,-1839071000.0,2075448000.0,1309213000.0,1724533000.0,2426082000.0,18753000.0,29151000.0,-117419000.0,25629000.0,87133000.0,307143000.0,922801000.0,900353000.0,197516000.0,257610000.0,166117000.0,-99644000.0,-1731199000.0,1131122000.0,1436880000.0,-117603000.0,41152000.0,67606000.0,177566371000.0,52396000.0,681000.0,20850000.0,43522000.0,57427000.0,-2760000.0,878000.0,67995000.0,123906000.0,-4328800000.0,-1359100000.0,-6520664000.0,-314776000.0,1956308000.0,981677000.0,-20824000.0,2138505000.0,2573999000.0,2206827000.0,1824169000.0,2604353000.0,1536200000.0,2460202000.0,-465695000.0,831153000.0,-37587000.0,-40765000.0,-144784000.0,-94261000.0,1186423000.0,686789000.0,2127000000.0,2494999000.0,-20731642000.0,18456208000.0,-35070407000.0,41295301000.0,1103368000.0,188801000.0,919446000.0,1140856000.0,841892000.0,150766000.0,189642000.0,911385000.0,414194000.0,1971917000.0,1408740000.0,775234000.0,1365631000.0,-2849725000.0,835573000.0,1721147000.0,2108936000.0,226000000.0,3381000000.0,302092000.0,804000000.0,887000000.0,792000000.0,132000000.0,520448000.0,32293000.0,1070521000.0,940443000.0,221513000.0,306517000.0,300265000.0,291064000.0,-102189000.0,573500000.0,-359960000.0,67122000.0,-20731642000.0,18456208000.0,-35070407000.0,41295301000.0,6730000000.0,7924000000.0,9287000000.0,10118000000.0,-901183000.0,-415346000.0,805598000.0,356080000.0,6730000000.0,7924000000.0,9287000000.0,10118000000.0,960058000.0,8926000.0,329070000.0,767368000.0,-332300000.0,557900000.0,-77412000.0,164503000.0,13893000.0,-131437000.0,-60182000.0,26752000.0,2120000000.0,-1729300000.0,9775300000.0,4253447000.0,-305000000.0,-437000000.0,3000000.0,1155218000.0,454151000.0,1899817000.0,440594000.0,216505000.0,141435000.0,147481000.0,243392000.0,-75859000.0,-221038000.0,-431243000.0,-141413000.0,752000000.0,-1874000000.0,2494000000.0,-674000000.0,-588464000.0,-1882526000.0,1365702000.0,176076000.0,348773000.0,100586000.0,201164000.0,223069000.0,5986000.0,1945459000.0,484945000.0,-632029000.0,1768000000.0,-525000000.0,1755000000.0,621000000.0,793432000.0,-671397000.0,105883000.0,-122992000.0,100062000.0,99154000.0,197956000.0,189850000.0,700983000.0,-970412000.0,1150553000.0,921087000.0,119769000.0,21858000.0,154392000.0,38051000.0,404953000.0,16224000.0,247964000.0,25108000.0,3813733000.0,-117888000.0,69965000.0,-597732000.0,-110030000.0,27423000.0,-185937000.0,-561693000.0,1671000.0,692000000.0,2480000000.0,125000000.0,2167000000.0,2906000.0,-127638000.0,10196000.0,-59406000.0,1709467000.0,308884000.0,1145098000.0,2563249000.0,584928000.0,477436000.0,588787000.0,707869000.0,54843000.0,24528000.0,93833000.0,78805000.0,363476000.0,96990000.0,244548000.0,452582000.0,-604272000.0,1820611000.0,1620793000.0,239202000.0,278210000.0,61373000.0,248521000.0,160554000.0,2823684000.0,-455029000.0,-2904128000.0,-2715188000.0,987921000.0,-10081458000.0,561448000.0,1243676000.0,1060507000.0,241927000.0,618769000.0,641755000.0,495215000.0,-402800000.0,1108263000.0,61303000.0,1071000000.0,-3966000000.0,780000000.0,1426000000.0,1756375000.0,2150394000.0,2284000.0,374256000.0,112908000.0,532342000.0,-9723000000.0,10204000000.0,-2900000000.0,297057000.0,15595000.0,454323000.0,300942000.0,405268000.0,251627000.0,308451000.0,235532000.0,-269551000.0,-670074000.0,-698785000.0,-456929000.0,-393963000.0,903336000.0,530568000.0,-1325737000.0,1454884000.0,-2201317000.0,7748817000.0,-13605992000.0,3479291000.0,3299468000.0,14357000.0,-28149000.0,-7503000.0,-38464000.0,2108936000.0,226000000.0,3381000000.0,302092000.0,1108389000.0,364352000.0,1365236000.0,787625000.0,201000000.0,2605000000.0,176000000.0,1139000000.0,165104000.0,147868000.0,167431000.0,151831000.0,-5405346000.0,-121724000.0,-492241000.0,-113851000.0,613821000.0,909661000.0,362320000.0,304164000.0,452023000.0,-477444000.0,380902000.0,461670000.0,-63940000.0,170950000.0,297335000.0,167422000.0,509438000.0,-91289000.0,1760980000.0,392001000.0,-28648939000.0,29441045000.0,195412000.0,-181725000.0,-3107698000.0,-712535000.0,10970000000.0,42736000000.0,3266000000.0,33171000000.0,1764274000.0,-412709000.0,2083606000.0,2146719000.0,371500000.0,961300000.0,406400000.0,-434000000.0,8036000.0,47261000.0,200185000.0,79226000.0,841892000.0,150766000.0,189642000.0,911385000.0,81760000.0,-7464000.0,61910000.0,14716000.0,442425000.0,133974000.0,880665000.0,231933000.0,-398914000.0,-638622000.0,-413939000.0,-97223000.0,-739700000.0,450800000.0,262100000.0,-205066000.0,783787000.0,-335497000.0,-500483000.0,225671000.0,435512000.0,250386000.0,17870000.0,1760980000.0,392001000.0,-28648939000.0,29441045000.0,-114477000.0,-81823000.0,153625000.0,39420000.0,-166664000.0,-742420000.0,-141029000.0,-624893000.0,-181737000.0,-59407000.0,-475442000.0,-76282000.0,1808121000.0,-6127858000.0,1292162000.0,3227078000.0,353169000.0,85820000.0,324632000.0,303367000.0
